正面（重要性+中文）,背面（考点词+命题）,重要性排行,考点词,常考中文词义,雅思阅读真题命题方式
"329 v.拒绝,排斥,丢弃","reject,exclude",329,reject,"v.拒绝,排斥,丢弃",exclude
330 adj.相关的,"relevant,relative",330,relevant,adj.相关的,relative
331 adj.宗教的;虔诚的,"religious,sacred",331,religious,adj.宗教的;虔诚的,sacred
332 adj.不情愿的,"reluctant,unwilling",332,reluctant,adj.不情愿的,unwilling
333 v.繁殖,"reproduce,breed",333,reproduce,v.繁殖,breed
"334 adj.负责的,可靠的;有责任的","responsible,liable",334,responsible,"adj.负责的,可靠的;有责任的",liable
335 n.修正,"revision,editing",335,revision,n.修正,editing
"336 v.使复苏,恢复","revive,renaissance",336,revive,"v.使复苏,恢复",renaissance
337 v.毁灭,"ruin,destroy",337,ruin,v.毁灭,destroy
338 adj. 风景优美的,"scenic,beautiful",338,scenic,adj. 风景优美的,beautiful
339 n.遮阳;阴影,"shade,shelter",339,shade,n.遮阳;阴影,shelter
340 n.怀疑,"skepticism,doubt",340,skepticism,n.怀疑,doubt
341 v.激增,"soar,increase",341,soar,v.激增,increase
342 adv.唯一的,"solely,alone",342,solely,adv.唯一的,alone
343 n.律师,"solicitor,lawyer",343,solicitor,n.律师,lawyer
"344 v.控制,引导","steer,manage",344,steer,"v.控制,引导",manage
"345 n.刺激,激励","stimulate,motivate",345,stimulate,"n.刺激,激励",motivate
346 n.进展,"stride,progress",346,stride,n.进展,progress
347 vi.屈服,"succumb,yield",347,succumb,vi.屈服,yield
348 v.把……细分,"subdivide,break down",348,subdivide,v.把……细分,break down
349 adj.微妙的,"subtle,delicate",349,subtle,adj.微妙的,delicate
350 n.物质;实质,"substance,matter",350,substance,n.物质;实质,matter
"351 n.足量,充足","sufficiency,enough",351,sufficiency,"n.足量,充足",enough
"352 v.取代,代替","supersede,replace",352,supersede,"v.取代,代替",replace
353 v.抑制;隐瞒,"suppress,hold",353,suppress,v.抑制;隐瞒,hold
"354 n.至高无上,很高的地位","supremacy,priority",354,supremacy,"n.至高无上,很高的地位",priority
355 adj.可疑的,"suspicious,odd",355,suspicious,adj.可疑的,odd
356 adj.可持续的,"sustainable,long-term",356,sustainable,adj.可持续的,long-term
"357 n.症状,征兆","symptom,sign",357,symptom,"n.症状,征兆",sign
"358 n.紧张,不安","tension,upset",358,tension,"n.紧张,不安",upset
359 n.术语,"term,word",359,term,n.术语,word
"360 adv.自始至终,到处;全部prep.贯穿,遍及","throughout,anywhere",360,throughout,"adv.自始至终,到处;全部prep.贯穿,遍及",anywhere
361 n.通行费v.征收,"toll,charge",361,toll,n.通行费v.征收,charge
362 n.追溯;痕迹,"trace,track",362,trace,n.追溯;痕迹,track
"363 v.胜过,超越","transcend,excel",363,transcend,"v.胜过,超越",excel
364 n.运输;经过v.运送,"transit,send",364,transit,n.运输;经过v.运送,send
"365 adj.巨大的,惊人的","tremendous,vast",365,tremendous,"adj.巨大的,惊人的",vast
"366 n.触发,引发,引起","trigger,begin",366,trigger,"n.触发,引发,引起",begin
367 adj.热带的,"tropical,hot",367,tropical,adj.热带的,hot
"368 adj.公正的, 无偏见的","unbiased,fair",368,unbiased,"adj.公正的, 无偏见的",fair
369 adj.始终如一的,"uniform,consistent",369,uniform,adj.始终如一的,consistent
"370 adj.宝贵的, 有价值的","valuable,benefit",370,valuable,"adj.宝贵的, 有价值的",benefit
371 ad.多功能的,"versatile,all-around",371,versatile,ad.多功能的,all-around
372 v.看,"view,overlook",372,view,v.看,overlook
373 adj暴力的; 猛烈的,"violent,fierce",373,violent,adj暴力的; 猛烈的,fierce
"374 adj.明显的,看得见的","visible,see",374,visible,"adj.明显的,看得见的",see
375 adj.视觉的,"visual,image",375,visual,adj.视觉的,image
"376 n.健康,康乐","well-being,health",376,well-being,"n.健康,康乐",health
